#,Question,Asker Initials,Answer,Question Time,Answered Time,Answerer Initials
11,Can anyone comment as to whether there is any similar subsystem protection for the Philips Interpreter?,A.A.,"Unfortunately Thomas Roos, the author of the more advanced and ready-to-use Philips interpreter is not in the webinar today, you will have to ask him offline. As for the other interpreter, which was presented yesterday by Will Grissom, all SAR and PNS tools of Philips remain fully engaged and available to the end user.",02/26/2026 09:39:32 AM,02/26/2026 09:42:30 AM,M.Z.
12,"How can we avoid the mechanical resonances for spiral which is periodic? Except for acoustic noise, will this also introduce artifacts?",A.A.,"https://ieeexplore.ieee.org/abstract/document/11272896
work from Matt McCready addresses this",02/26/2026 09:43:09 AM,02/26/2026 09:44:00 AM,B.B.
12,"How can we avoid the mechanical resonances for spiral which is periodic? Except for acoustic noise, will this also introduce artifacts?",A.A.,"thank you Berkin, this is the reference I would also recommend",02/26/2026 09:43:09 AM,02/26/2026 10:37:13 AM,M.Z.
13,Where does the mechanical resonance file stores on GE scanner? /w/config?,A.A.,"The file is epiespXXX.dat (XXX is model dependent), I believe it's in/srv/nfs/psd/etc",02/26/2026 09:45:16 AM,02/26/2026 09:50:27 AM,J.N.
13,Where does the mechanical resonance file stores on GE scanner? /w/config?,A.A.,or in /opt/gehc/mr_psd_dist/root/etc/,02/26/2026 09:45:16 AM,02/26/2026 09:51:42 AM,M.C.
13,Where does the mechanical resonance file stores on GE scanner? /w/config?,A.A.,"yeah, at least in 30.1 is in /opt/gehc/mr_psd_dist/root/etc/",02/26/2026 09:45:16 AM,02/26/2026 09:52:40 AM,M.C.
14,we have a preclinical scanner from the United Imaging. Is Pulseq working on preclincal magnets?,A.A.,"I believe that is 9.4T, and yes, it works.",02/26/2026 09:49:42 AM,02/26/2026 09:53:13 AM,L.Z.
14,we have a preclinical scanner from the United Imaging. Is Pulseq working on preclincal magnets?,A.A.,live answered,02/26/2026 09:49:42 AM,02/26/2026 10:05:52 AM,J.N.
15,its audible,Y.K.,live answered,02/26/2026 09:56:04 AM,02/26/2026 09:57:05 AM,J.N.
16,Is the 10240 samples limit ADC-hardware related or related to the pulseq interpreter?,L.L.,It's a hardware limit.,02/26/2026 10:00:46 AM,02/26/2026 10:05:54 AM,L.Z.
16,Is the 10240 samples limit ADC-hardware related or related to the pulseq interpreter?,L.L.,live answered,02/26/2026 10:00:46 AM,02/26/2026 10:06:11 AM,J.N.
16,Is the 10240 samples limit ADC-hardware related or related to the pulseq interpreter?,L.L.,Thank you!,02/26/2026 10:00:46 AM,02/26/2026 10:06:22 AM,L.L.
17,"How is the dynamic FOV positioning achieved in Pulseq on United Imaging? I don’t think this feature is implemented in other Pulseq interpreters, so this is really cool",J.T.,"The FOV shift information will be stored in the protocol, and our interpreter will read this information and apply on the NCO of ADC and RF pulse. I believe other vendors also have the ability to achieve this, only that if they would like to spend the efforts",02/26/2026 10:10:00 AM,02/26/2026 10:20:04 AM,Z.Z.
18,Is there an equivalent function to calculate the spectrum of spiral waveform on PGE?,A.A.,"for the moment, you can use the spectrum calculation from pulseq toolbox - provided that you verified conversion is accurate using pge toolbox",02/26/2026 10:10:33 AM,02/26/2026 10:15:38 AM,M.C.
18,Is there an equivalent function to calculate the spectrum of spiral waveform on PGE?,A.A.,"The same seq.gradSpectrum() function can be used,  you just have to visually inspect the peaks and compare with the forbidden bands. We have discussed updating gradSpetrum() to accept forbidden bands directly without having to provide a .asc file (which is only for Siemens). Let's make sure that happens.",02/26/2026 10:10:33 AM,02/26/2026 10:18:10 AM,J.N.
19,what actually happens when setting the ‘flip angle’ option to ‘strict’ if the pulse amplitude exceeds the sequence limit? does the pulse become longer?,A.A.,"if the pulse amplitude exceeds the system limit, the ‘strict’ option will disppear. If the “flip angle” is set to be adaptive mode, the pulse duration will become longer.",02/26/2026 10:13:11 AM,02/26/2026 10:21:42 AM,Q.C.
19,what actually happens when setting the ‘flip angle’ option to ‘strict’ if the pulse amplitude exceeds the sequence limit? does the pulse become longer?,A.A.,"if you cannot see the option ""strict"" for your sequence it means that the flip angles are not realizable and are readily ""trimmed"".",02/26/2026 10:13:11 AM,02/26/2026 10:24:36 AM,Q.C.
20,"We have an general workflow issue on our Siemens FreeMax, Sola and Vida scanners (tested with v1.5.0 and v1.5.1). After running a pulseq sequence, we cannot copy the sequence in the MRI protocol and rerun it. Sometimes the GUI crashes (requiring a workplace restart) and even if it does not crash, all parameters (fov positioning, shim, selected seq file) are lost and we need to set everything again. We have not yet identified a clear pattern of what exactly causes the crashes. The results from the executed scans are perfectly fine though.",T.G.,"I typically use ""copy-an-go"" button, which I find more reliable and also more responsive because it avoids closing and reloading the sequence.",02/26/2026 10:18:45 AM,02/26/2026 10:25:01 AM,M.Z.
20,"We have an general workflow issue on our Siemens FreeMax, Sola and Vida scanners (tested with v1.5.0 and v1.5.1). After running a pulseq sequence, we cannot copy the sequence in the MRI protocol and rerun it. Sometimes the GUI crashes (requiring a workplace restart) and even if it does not crash, all parameters (fov positioning, shim, selected seq file) are lost and we need to set everything again. We have not yet identified a clear pattern of what exactly causes the crashes. The results from the executed scans are perfectly fine though.",T.G.,Do you have any more specific insights in what causes workspace crashes generally/what to avoid? Is it sequence or setting specific?,02/26/2026 10:18:45 AM,02/26/2026 10:31:26 AM,T.G.
21,Could you explain the differences between implementing rf shiming and ptx?,J.T.,"RF shimming is a pTx technique in which only the phase/amplitude differs for each channel, but the general pulse shape stays identical. With full pTx, you can also have independent waveforms on each channel",02/26/2026 10:29:17 AM,02/26/2026 10:35:45 AM,D.B.
22,"Hi Dario, my name is Zimu Huo, and I’m a PhD student working on PTX on the Siemens Terra X. I was wondering if we could get in touch.",Z.H.,"Hi Zimu,
the easiest is if you send me an email:
dario.bosch@tuebingen.mpg.de
I will then reply to you.
Best, Dario",02/26/2026 10:30:32 AM,02/26/2026 10:36:30 AM,D.B.
22,"Hi Dario, my name is Zimu Huo, and I’m a PhD student working on PTX on the Siemens Terra X. I was wondering if we could get in touch.",Z.H.,thanks,02/26/2026 10:30:32 AM,02/26/2026 10:36:42 AM,Z.H.
23,"Hello Matteo, How do you take into accont dummy scans?",A.A.,live answered,02/26/2026 10:40:22 AM,02/26/2026 10:46:10 AM,M.C.
24,Hi Matteo! Is this prescription-time-mod working with the same interpreter hosted on github-GEHC?,A.A.,"yes, current interpreter contains the logic used for this proof-of-concept experiment",02/26/2026 10:41:16 AM,02/26/2026 10:44:15 AM,M.C.
25,"Sorry, I may have been a little late for this question. But I wanted to know about Siemens axis orientation vs pulseq axis orientation. https://github.com/pulseq/pulseq/discussions/162
I want to know if there is a way to match both the axis  system or do we still need manual rotation?  Does the new FOV positioning feature be used in this case?",A.A.,"There is a way to match the axis, but ou have to be quite attentive to details.  The short versionof the answer is that the default conversion is calculated such that the Pulseq sequence logical xyz axes are mapped to the scanners physical xyz axes in the transversal orientation. This is quite different to the behaviour of the IDEA sequences though, which use a different mapping.",02/26/2026 11:31:00 AM,02/26/2026 11:35:56 AM,M.Z.
26,How to uses PGE with HOS? just like normal GE sequences?,X.J.,"Yes, HOS is a completely separate protocol.",02/26/2026 11:38:45 AM,02/26/2026 11:39:38 AM,J.N.
26,How to uses PGE with HOS? just like normal GE sequences?,X.J.,Thanks Jon! the workflow is just like HOS for GE EPI ?,02/26/2026 11:38:45 AM,02/26/2026 11:40:12 AM,X.J.
27,"I am interested in 129Xe MRI using oulse-seq, we have TOPPE and a 3T GE machine, I guess Im confused if this is implementable now with the multinuclear capabilities you discussed or if thats still a work in progress?",A.A.,live answered,02/26/2026 11:41:52 AM,02/26/2026 11:42:26 AM,X.L.
27,"I am interested in 129Xe MRI using oulse-seq, we have TOPPE and a 3T GE machine, I guess Im confused if this is implementable now with the multinuclear capabilities you discussed or if thats still a work in progress?",A.A.,"From Xiaoxi: Yes, it’s implementable now. Though we didn’t test in 129Xe coils, we would like to support if you meet any bugs during using MNS functions.",02/26/2026 11:41:52 AM,02/26/2026 11:52:09 AM,J.N.
28,What kind of difficulties did you encounter for using Pulseq sequences for clinical purposes? Was that only the temperature check? But is the temperature check not only necessary because you are implementing a new scan on a different system? But how to translate a research sequence to an actual clinically used sequence?,A.A.,I'll forward this to the speaker and see if we can paste the answer into the Q&A log. Thanks for the question and sorry we ran out of time!,02/26/2026 11:50:32 AM,02/26/2026 12:01:03 PM,J.N.
29,"Has this sequence been tested on non Siemens scanners? I have failed trying to bridge it onto our GE scanner last summer despite adding the modifications required to the seq file, passing successfully all the checks steps (the sequence even dowloaded and passed auto Prescan but nothing happened after that) and I would be interested to see if someone has been more successfull than me?",G.C.,live answered,02/26/2026 11:53:17 AM,02/26/2026 11:54:30 AM,J.N.
29,"Has this sequence been tested on non Siemens scanners? I have failed trying to bridge it onto our GE scanner last summer despite adding the modifications required to the seq file, passing successfully all the checks steps (the sequence even dowloaded and passed auto Prescan but nothing happened after that) and I would be interested to see if someone has been more successfull than me?",G.C.,"I'm sure we can figure it out, please contact me! There are some low-level timing constraint differences.",02/26/2026 11:53:17 AM,02/26/2026 11:58:31 AM,J.N.
30,"Not a question but thanks to everyone for an informative three days, full of excellent talks",A.A.,live answered,02/26/2026 11:56:48 AM,02/26/2026 11:57:24 AM,J.N.
31,Could anyone provide access to the pulseq meeting?,X.J.,,02/26/2026 11:57:16 AM,,--
32,Thank you for this excellennt workshop and to all presenters.,M.S.,,02/26/2026 11:57:31 AM,,--
33,Is there any method to download all the questions?  and answers and post them along with the recorded video for the later on study and discussion.,Y.K.,Yes the Q&A log will be posted on the Github,02/26/2026 11:57:33 AM,02/26/2026 11:59:18 AM,J.N.
34,Thank you very much! Very impressive effort!,R.M.,"Thanks, and thanks all!",02/26/2026 11:57:49 AM,02/26/2026 11:59:50 AM,J.N.
35,Great Workshop! Thank you so much!,A.A.,,02/26/2026 11:59:29 AM,,--
36,Thanks,Y.K.,,02/26/2026 11:59:35 AM,,--
37,Thank you!,D.N.,,02/26/2026 11:59:35 AM,,--
38,Thanks!,D.M.,,02/26/2026 11:59:41 AM,,--
39,thank you!,K.Y.,,02/26/2026 11:59:52 AM,,--
